route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,note_fr,note_en
100,15N_A,15N_A_100_02_13_100_1,100-O,1,1000191,2,,
100,15N_A,15N_A_100_02_14_100_1,100-E,0,1000184,2,,
100,15N_A,15N_A_100_02_2_100_1,100-O,1,1000191,2,,
100,15N_A,15N_A_100_02_3_100_1,100-E,0,1000184,2,,
100,15N_A,15N_A_100_02_5_100_1,100-O,1,1000191,2,,
100,15N_A,15N_A_100_02_7_100_1,100-O,1,1000191,2,,
100,15N_A,15N_A_100_02_8_100_1,100-E,0,1000184,2,,
100,15N_A,15N_A_100_03_11_100_1,100-E,0,1000184,1,,
100,15N_A,15N_A_100_03_2_100_1,100-O,1,1000191,1,,
100,15N_A,15N_A_100_03_3_100_1,100-E,0,1000184,1,,
100,15N_A,15N_A_100_03_5_100_1,100-O,1,1000191,1,,
100,15N_A,15N_A_100_03_6_100_1,100-E,0,1000184,1,,
100,15N_A,15N_A_100_03_8_100_1,100-O,1,1000191,1,,
100,15N_A,15N_A_100_03_9_100_1,100-E,0,1000184,1,,
100,15N_A,15N_A_100_04_2_100_1,100-O,1,1000191,2,,
100,15N_A,15N_A_100_04_3_100_1,100-E,0,1000184,2,,
100,15N_A,15N_A_100_04_5_100_1,100-O,1,1000191,2,,
100,15N_A,15N_A_100_04_6_100_1,100-E,0,1000184,2,,
100,15N_A,15N_A_100_04_8_100_1,100-O,1,1000191,2,,
